date,total_sells,holiday_mark
2013-01-01,1951.0,NEW_YEAR
2013-01-02,8198.0,NEW_YEAR
2013-01-03,7422.0,NEW_YEAR
2013-01-04,6617.0,NEW_YEAR
2013-01-05,6346.0,NEW_YEAR
2013-01-06,5858.0,CHRISTMAS_ORTHODOX
2013-01-07,4984.0,CHRISTMAS_ORTHODOX
2013-01-08,4772.0,CHRISTMAS_ORTHODOX
2013-01-09,3162.0,NEW_YEAR
2013-01-10,3142.0,
2013-01-11,3829.0,
2013-01-12,5443.0,
2013-01-13,4475.0,
2013-01-14,2595.0,
2013-01-15,3137.0,
2013-01-16,3033.0,
2013-01-17,3096.0,
2013-01-18,3682.0,
2013-01-19,6044.0,
2013-01-20,5111.0,
2013-01-21,2636.0,
2013-01-22,2775.0,
2013-01-23,2727.0,
2013-01-24,3016.0,
2013-01-25,4244.0,
2013-01-26,6267.0,
2013-01-27,5273.0,
2013-01-28,2852.0,
2013-01-29,2764.0,
2013-01-30,3042.0,
2013-01-31,2986.0,
2013-02-01,3817.0,
2013-02-02,6145.0,
2013-02-03,5068.0,
2013-02-04,2330.0,
2013-02-05,3302.0,
2013-02-06,2974.0,
2013-02-07,3760.0,
2013-02-08,4430.0,
2013-02-09,6802.0,
2013-02-10,5511.0,
2013-02-11,3414.0,
2013-02-12,3622.0,
2013-02-13,3780.0,
2013-02-14,4024.0,
2013-02-15,4267.0,
2013-02-16,6643.0,
2013-02-17,5865.0,
2013-02-18,3203.0,
2013-02-19,4228.0,
2013-02-20,4074.0,
2013-02-21,5292.0,
2013-02-22,8009.0,DEFENDER_DAY
2013-02-23,9456.0,DEFENDER_DAY
2013-02-24,6139.0,DEFENDER_DAY
2013-02-25,3024.0,
2013-02-26,2978.0,
2013-02-27,3014.0,
2013-02-28,2919.0,
2013-03-01,3846.0,
2013-03-02,6491.0,
2013-03-03,5476.0,
2013-03-04,3053.0,
2013-03-05,4427.0,
2013-03-06,4337.0,
2013-03-07,6766.0,WOMENS_DAY
2013-03-08,7582.0,WOMENS_DAY
2013-03-09,6385.0,WOMENS_DAY
2013-03-10,5073.0,
2013-03-11,2846.0,
2013-03-12,4288.0,
2013-03-13,4001.0,
2013-03-14,3641.0,
2013-03-15,4890.0,
2013-03-16,7347.0,
2013-03-17,5617.0,
2013-03-18,3113.0,
2013-03-19,3122.0,
2013-03-20,3253.0,
2013-03-21,3484.0,
2013-03-22,4645.0,
2013-03-23,7236.0,
2013-03-24,5221.0,
2013-03-25,3181.0,
2013-03-26,3914.0,
2013-03-27,3673.0,
2013-03-28,3776.0,
2013-03-29,4472.0,
2013-03-30,6617.0,
2013-03-31,5369.0,
2013-04-01,2574.0,
2013-04-02,2536.0,
2013-04-03,2579.0,
2013-04-04,2748.0,
2013-04-05,4010.0,
2013-04-06,6293.0,
2013-04-07,5130.0,
2013-04-08,2506.0,
2013-04-09,2779.0,
2013-04-10,2835.0,
2013-04-11,3315.0,
2013-04-12,3947.0,
2013-04-13,6030.0,
2013-04-14,4489.0,
2013-04-15,2508.0,
2013-04-16,2498.0,
2013-04-17,2462.0,
2013-04-18,2728.0,
2013-04-19,3915.0,
2013-04-20,5649.0,
2013-04-21,4563.0,
2013-04-22,2499.0,
2013-04-23,2471.0,
2013-04-24,2720.0,
2013-04-25,3245.0,
2013-04-26,3629.0,
2013-04-27,5250.0,
2013-04-28,4597.0,
2013-04-29,2771.0,
2013-04-30,3914.0,LABOUR_DAY
2013-05-01,4863.0,TRANSFERRED
2013-05-02,4301.0,TRANSFERRED
2013-05-03,3914.0,TRANSFERRED
2013-05-04,3624.0,TRANSFERRED
2013-05-05,3390.0,
2013-05-06,2600.0,
2013-05-07,2738.0,
2013-05-08,3457.0,VICTORY_DAY
2013-05-09,3059.0,VICTORY_DAY
2013-05-10,3435.0,VICTORY_DAY
2013-05-11,3518.0,TRANSFERRED
2013-05-12,3312.0,
2013-05-13,2075.0,
2013-05-14,1964.0,
2013-05-15,2506.0,
2013-05-16,2371.0,
2013-05-17,4580.0,
2013-05-18,5208.0,
2013-05-19,4291.0,
2013-05-20,2712.0,
2013-05-21,2784.0,
2013-05-22,2863.0,
2013-05-23,3054.0,
2013-05-24,4068.0,
2013-05-25,5280.0,
2013-05-26,4747.0,
2013-05-27,2673.0,
2013-05-28,3000.0,
2013-05-29,2951.0,
2013-05-30,3511.0,
2013-05-31,4121.0,
2013-06-01,5734.0,
2013-06-02,4486.0,
2013-06-03,3239.0,
2013-06-04,3247.0,
2013-06-05,3418.0,
2013-06-06,3769.0,
2013-06-07,5137.0,
2013-06-08,5644.0,
2013-06-09,4567.0,
2013-06-10,3369.0,
2013-06-11,3952.0,RUSSIA_DAY
2013-06-12,4892.0,RUSSIA_DAY
2013-06-13,3399.0,RUSSIA_DAY
2013-06-14,5827.0,
2013-06-15,5297.0,
2013-06-16,4389.0,
2013-06-17,3421.0,
2013-06-18,3381.0,
2013-06-19,3315.0,
2013-06-20,3905.0,
2013-06-21,4424.0,
2013-06-22,5258.0,
2013-06-23,4431.0,
2013-06-24,3172.0,
2013-06-25,3575.0,
2013-06-26,3188.0,
2013-06-27,3753.0,
2013-06-28,3994.0,
2013-06-29,4971.0,
2013-06-30,4227.0,
2013-07-01,3391.0,
2013-07-02,3374.0,
2013-07-03,3443.0,
2013-07-04,3630.0,
2013-07-05,3927.0,
2013-07-06,4382.0,
2013-07-07,4666.0,
2013-07-08,3144.0,
2013-07-09,3237.0,
2013-07-10,3431.0,
2013-07-11,3562.0,
2013-07-12,4161.0,
2013-07-13,4804.0,
