timestamp,value_0,is_anomaly
1740787200000,13.3,0.0
1740787500000,12.4,0.0
1740787800000,11.6,0.0
1740788100000,11.3,0.0
1740788400000,11.5,0.0
1740788700000,11.9,0.0
1740789000000,10.8,0.0
1740789300000,14.8,0.0
1740789600000,19.1,0.0
1740789900000,21.5,0.0
1740790200000,23.3,0.0
1740790500000,25.6,0.0
1740790800000,27.4,0.0
1740791100000,27.9,0.0
1740791400000,27.7,0.0
1740791700000,27.4,0.0
1740792000000,26.6,0.0
1740792300000,24.2,0.0
1740792600000,21.5,0.0
1740792900000,19.2,0.0
1740793200000,17.6,0.0
1740793500000,15.8,0.0
1740793800000,15.2,0.0
1740794100000,14.0,0.0
1740794400000,13.6,0.0
1740794700000,13.0,0.0
1740795000000,12.0,0.0
1740795300000,11.5,0.0
1740795600000,11.1,0.0
1740795900000,10.7,0.0
1740796200000,11.4,0.0
1740796500000,14.2,0.0
1740796800000,16.1,0.0
1740797100000,19.2,0.0
1740797400000,22.6,0.0
1740797700000,24.1,0.0
1740798000000,23.8,0.0
1740798300000,22.0,0.0
1740798600000,21.4,0.0
1740798900000,20.7,0.0
1740799200000,19.6,0.0
1740799500000,19.0,0.0
1740799800000,17.8,0.0
1740800100000,16.7,0.0
1740800400000,15.7,0.0
1740800700000,15.6,0.0
1740801000000,14.7,0.0
1740801300000,14.3,0.0
1740801600000,13.6,0.0
1740801900000,13.5,0.0
1740802200000,13.0,0.0
1740802500000,11.9,0.0
1740802800000,11.1,0.0
1740803100000,10.1,0.0
1740803400000,10.0,0.0
1740803700000,12.6,0.0
1740804000000,14.4,0.0
1740804300000,15.4,0.0
1740804600000,16.5,0.0
1740804900000,17.2,0.0
1740805200000,18.1,0.0
1740805500000,18.7,0.0
1740805800000,19.3,0.0
1740806100000,19.4,0.0
1740806400000,18.5,0.0
1740806700000,16.8,0.0
1740807000000,15.2,0.0
1740807300000,13.5,0.0
1740807600000,12.2,0.0
1740807900000,11.2,0.0
1740808200000,10.4,0.0
1740808500000,9.2,0.0
1740808800000,8.6,0.0
1740809100000,8.3,0.0
1740809400000,7.8,0.0
1740809700000,7.9,0.0
1740810000000,8.1,0.0
1740810300000,7.3,0.0
1740810600000,7.6,0.0
1740810900000,8.2,0.0
1740811200000,10.8,0.0
1740811500000,12.5,0.0
1740811800000,13.8,0.0
1740812100000,14.0,0.0
1740812400000,13.9,0.0
1740812700000,14.0,0.0
1740813000000,13.2,0.0
1740813300000,14.4,0.0
1740813600000,14.6,0.0
1740813900000,14.0,0.0
1740814200000,13.2,0.0
1740814500000,12.7,0.0
1740814800000,11.8,0.0
1740815100000,10.9,0.0
1740815400000,10.8,0.0
1740815700000,10.9,0.0
1740816000000,10.5,0.0
1740816300000,9.9,0.0
1740816600000,9.7,0.0
1740816900000,9.4,0.0
1740817200000,9.1,0.0
1740817500000,8.4,0.0
1740817800000,8.7,0.0
1740818100000,9.7,0.0
1740818400000,10.2,0.0
1740818700000,12.1,0.0
1740819000000,13.3,0.0
1740819300000,14.1,0.0
1740819600000,15.0,0.0
1740819900000,15.6,0.0
1740820200000,15.8,0.0
1740820500000,15.6,0.0
1740820800000,14.7,0.0
1740821100000,13.0,0.0
1740821400000,11.4,0.0
1740821700000,10.2,0.0
1740822000000,9.1,0.0
1740822300000,8.3,0.0
1740822600000,7.0,0.0
1740822900000,5.9,0.0
1740823200000,5.5,0.0
1740823500000,5.0,0.0
1740823800000,4.4,0.0
1740824100000,4.2,0.0
1740824400000,4.6,0.0
1740824700000,4.7,0.0
1740825000000,5.1,0.0
1740825300000,6.0,0.0
1740825600000,8.2,0.0
1740825900000,9.8,0.0
1740826200000,11.4,0.0
1740826500000,12.8,0.0
1740826800000,13.5,0.0
1740827100000,13.6,0.0
1740827400000,13.7,0.0
1740827700000,13.8,0.0
1740828000000,12.9,0.0
1740828300000,12.3,0.0
1740828600000,11.5,0.0
1740828900000,10.7,0.0
1740829200000,9.9,0.0
1740829500000,9.2,0.0
1740829800000,8.3,0.0
1740830100000,8.5,0.0
1740830400000,8.2,0.0
1740830700000,7.9,0.0
1740831000000,7.9,0.0
1740831300000,7.8,0.0
1740831600000,7.0,0.0
1740831900000,6.6,0.0
1740832200000,5.7,0.0
1740832500000,7.0,0.0
1740832800000,10.2,0.0
1740833100000,11.7,0.0
1740833400000,12.9,0.0
1740833700000,14.4,0.0
1740834000000,15.7,0.0
1740834300000,16.8,0.0
1740834600000,17.8,0.0
1740834900000,18.2,0.0
1740835200000,17.2,0.0
1740835500000,15.3,0.0
1740835800000,13.3,0.0
1740836100000,11.9,0.0
1740836400000,10.8,0.0
1740836700000,9.9,0.0
1740837000000,8.8,0.0
1740837300000,8.1,0.0
1740837600000,7.5,0.0
1740837900000,7.2,0.0
1740838200000,6.6,0.0
1740838500000,6.1,0.0
1740838800000,5.8,0.0
1740839100000,5.6,0.0
1740839400000,5.4,0.0
1740839700000,7.2,0.0
1740840000000,9.9,0.0
1740840300000,11.8,0.0
1740840600000,13.0,0.0
1740840900000,14.8,0.0
1740841200000,16.4,0.0
1740841500000,17.3,0.0
1740841800000,17.5,0.0
1740842100000,17.3,0.0
1740842400000,16.1,0.0
