timestamp,value_0,is_anomaly
1740787200000,-15.0,0.0
1740787500000,-23.0,0.0
1740787800000,-24.0,0.0
1740788100000,-19.0,0.0
1740788400000,-28.0,0.0
1740788700000,-24.0,0.0
1740789000000,-32.0,0.0
1740789300000,-28.0,0.0
1740789600000,-25.0,0.0
1740789900000,-27.0,0.0
1740790200000,-25.0,0.0
1740790500000,-21.0,0.0
1740790800000,-19.0,0.0
1740791100000,-17.0,0.0
1740791400000,-18.0,0.0
1740791700000,-15.0,0.0
1740792000000,-22.0,0.0
1740792300000,-17.0,0.0
1740792600000,-11.0,0.0
1740792900000,-10.0,0.0
1740793200000,-13.0,0.0
1740793500000,-19.0,0.0
1740793800000,-21.0,0.0
1740794100000,-16.0,0.0
1740794400000,-19.0,0.0
1740794700000,-20.0,0.0
1740795000000,-17.0,0.0
1740795300000,-19.0,0.0
1740795600000,-22.0,0.0
1740795900000,-14.0,0.0
1740796200000,-22.0,0.0
1740796500000,-16.0,0.0
1740796800000,-17.0,0.0
1740797100000,-15.0,0.0
1740797400000,-18.0,0.0
1740797700000,-20.0,0.0
1740798000000,-24.0,0.0
1740798300000,-21.0,0.0
1740798600000,-17.0,0.0
1740798900000,-11.0,0.0
1740799200000,-1.0,0.0
1740799500000,-1.0,0.0
1740799800000,-2.0,0.0
1740800100000,3.0,0.0
1740800400000,1.0,0.0
1740800700000,-15.0,0.0
1740801000000,-16.0,0.0
1740801300000,-15.0,0.0
1740801600000,-17.0,0.0
1740801900000,-22.0,0.0
1740802200000,-23.0,0.0
1740802500000,-10.0,0.0
1740802800000,-15.0,0.0
1740803100000,-14.0,0.0
1740803400000,-7.0,0.0
1740803700000,-16.0,0.0
1740804000000,19.0,0.0
1740804300000,132.0,0.0
1740804600000,253.0,0.0
1740804900000,249.0,0.0
1740805200000,110.0,0.0
1740805500000,-6.0,0.0
1740805800000,-23.0,0.0
1740806100000,-26.0,0.0
1740806400000,-29.0,0.0
1740806700000,-32.0,0.0
1740807000000,-35.0,0.0
1740807300000,-35.0,0.0
1740807600000,-26.0,0.0
1740807900000,-27.0,0.0
1740808200000,-31.0,0.0
1740808500000,-32.0,0.0
1740808800000,-31.0,0.0
1740809100000,-32.0,0.0
1740809400000,-28.0,0.0
1740809700000,-20.0,0.0
1740810000000,-22.0,0.0
1740810300000,-19.0,0.0
1740810600000,-19.0,0.0
1740810900000,-22.0,0.0
1740811200000,-15.0,0.0
1740811500000,-13.0,0.0
1740811800000,-5.0,0.0
1740812100000,-6.0,0.0
1740812400000,0.0,0.0
1740812700000,-2.0,0.0
1740813000000,5.0,0.0
1740813300000,8.0,0.0
1740813600000,10.0,0.0
1740813900000,36.0,0.0
1740814200000,23.0,0.0
1740814500000,47.0,0.0
1740814800000,43.0,0.0
1740815100000,54.0,0.0
1740815400000,59.0,0.0
1740815700000,59.0,0.0
1740816000000,57.0,0.0
1740816300000,45.0,0.0
1740816600000,31.0,0.0
1740816900000,16.0,0.0
1740817200000,1.0,0.0
1740817500000,-4.0,0.0
1740817800000,-1.0,0.0
1740818100000,-13.0,0.0
1740818400000,-17.0,0.0
1740818700000,-16.0,0.0
1740819000000,-24.0,0.0
1740819300000,-23.0,0.0
1740819600000,-19.0,0.0
1740819900000,-23.0,0.0
1740820200000,-19.0,0.0
1740820500000,-18.0,0.0
1740820800000,-18.0,0.0
1740821100000,-28.0,0.0
1740821400000,-10.0,0.0
1740821700000,-12.0,0.0
1740822000000,-16.0,0.0
1740822300000,-18.0,0.0
1740822600000,-15.0,0.0
1740822900000,-13.0,0.0
1740823200000,-11.0,0.0
1740823500000,-16.0,0.0
1740823800000,-15.0,0.0
1740824100000,-11.0,0.0
1740824400000,-22.0,0.0
1740824700000,-13.0,0.0
1740825000000,-20.0,0.0
1740825300000,-16.0,0.0
1740825600000,-15.0,0.0
1740825900000,-20.0,0.0
1740826200000,-11.0,0.0
1740826500000,-18.0,0.0
1740826800000,-16.0,0.0
1740827100000,-16.0,0.0
1740827400000,-25.0,0.0
1740827700000,-16.0,0.0
1740828000000,-20.0,0.0
1740828300000,-15.0,0.0
1740828600000,-7.0,0.0
1740828900000,-5.0,0.0
1740829200000,0.0,0.0
1740829500000,4.0,0.0
1740829800000,7.0,0.0
1740830100000,-1.0,0.0
1740830400000,-5.0,0.0
1740830700000,-13.0,0.0
1740831000000,-11.0,0.0
1740831300000,-15.0,0.0
1740831600000,-24.0,0.0
1740831900000,-15.0,0.0
1740832200000,-6.0,0.0
1740832500000,-14.0,0.0
1740832800000,-14.0,0.0
1740833100000,-12.0,0.0
1740833400000,-26.0,0.0
1740833700000,8.0,0.0
1740834000000,130.0,0.0
1740834300000,285.0,0.0
1740834600000,292.0,0.0
1740834900000,144.0,0.0
1740835200000,-7.0,0.0
1740835500000,-24.0,0.0
1740835800000,-30.0,0.0
1740836100000,-21.0,0.0
1740836400000,-45.0,0.0
1740836700000,-18.0,0.0
1740837000000,-24.0,0.0
1740837300000,-34.0,0.0
1740837600000,-32.0,0.0
1740837900000,-24.0,0.0
1740838200000,-22.0,0.0
1740838500000,-17.0,0.0
1740838800000,-35.0,0.0
1740839100000,-23.0,0.0
1740839400000,-17.0,0.0
1740839700000,-20.0,0.0
1740840000000,-24.0,0.0
1740840300000,-20.0,0.0
1740840600000,-22.0,0.0
1740840900000,-22.0,0.0
1740841200000,-6.0,0.0
1740841500000,-12.0,0.0
1740841800000,-9.0,0.0
1740842100000,-3.0,0.0
1740842400000,2.0,0.0
1740842700000,1.0,0.0
1740843000000,8.0,0.0
1740843300000,19.0,0.0
1740843600000,28.0,0.0
1740843900000,27.0,0.0
1740844200000,38.0,0.0
1740844500000,48.0,0.0
1740844800000,50.0,0.0
1740845100000,58.0,0.0
1740845400000,59.0,0.0
1740845700000,58.0,0.0
1740846000000,46.0,0.0
1740846300000,32.0,0.0
1740846600000,9.0,0.0
1740846900000,12.0,0.0
1740847200000,0.0,0.0
1740847500000,-14.0,0.0
1740847800000,-17.0,0.0
1740848100000,-23.0,0.0
